"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"IBFN","2026-05-26","2026-05-26","560","FULL","74","8.823529411764707","HOLD","-","passive","FALSE","","V-SHAPE","2026-05-22","","4d","4","UPTREND","BEARISH","BEARISH","BEARISH","UPTREND DISCOUNT","EXPLOSIVE BULL","9.74","TRUE","TRUE","TRUE","LEADING","LEADING (Passive)","4","4","VOLUME SURGE","50","50","47.76","25.55","26.23","42.13","74.95","83.64","79.56","3089400","773180","1612","Supertrend bullish | RSI 47.8 lemah | Volume valid 4x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","62","57","56","54","0.1","0.2","0.3","0.4","1612","3508","5357","7407","17884","99987000","13000","55.91","55.91","51","79","90","90","17.74","8.78","45.16","60.98","2.55","6.95"
"PPGL","2026-05-26","2026-05-26","560","FULL","234","9.345794392523365","HOLD","-","passive","FALSE","","SMART GAMMA","2026-04-14","","42d","42","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","FALSE","TRUE","TRUE","LEADING","LEADING (Passive)","9.52","9.52","VOLUME SURGE","100","0","58.25","15.4","27.59","16","210.92","212.53","182.67","26903000","2826730","1536","Supertrend bullish | RSI 58.3 > 50 | Volume valid 9.52x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","228","204","197","189","0.1","0.2","0.3","0.4","438","980","1522","2116","5056","99954200","45800","197.69","197.7","175","308","388","388","23.25","11.48","70.18","96.26","3.02","8.39"
"SINI","2026-05-26","2026-05-26","560","FULL","11225","9.7799511002445","HOLD","-","passive","FALSE","","V-SHAPE","2026-05-22","","4d","4","UPTREND","BEARISH","BEARISH","BULLISH","UPTREND","EXPLOSIVE BULL","5.75","TRUE","TRUE","TRUE","LAGGING","LAGGARD (Passive)","2.03","2.03","VOLUME SURGE","100","0","44.84","24.68","31.54","43.8","11868.65","12652.88","10292.37","2439700","1198920","1512","Supertrend bullish | RSI 44.8 lemah | Volume valid 2.03x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","9300","8775","8650","8475","0.1","0.2","0.3","0.4","10","22","34","47","113","97847500","2152500","8659.07","8663.68","8075","11150","12975","12975","13.17","6.75","39.52","49.84","3","7.39"
"UNIC","2026-05-26","2026-05-26","560","FULL","15350","1.487603305785124","HOLD","-","passive","FALSE","","BETA BREAKOUT","2026-03-26","","61d","61","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","TRUE","TRUE","TRUE","LEADING","LEADING (Passive)","3.87","3.87","VOLUME SURGE","57.14","42.86","79.07","49.07","48.19","8.65","13237.86","12198.5","10150.01","103300","26720","1498","Supertrend bullish | RSI 79.1 > 50 | Volume valid 3.87x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","11400","10475","10250","9925","0.1","0.2","0.3","0.4","8","19","29","40","96","98447500","1552500","10254.95","10263.19","9400","14400","17400","17400","17.54","8.34","52.63","69.67","3","8.36"
"ARTA","2026-05-26","2026-05-26","560","FULL","2500","25","UNSAFE DIP","-","risk","FALSE","","EARLY SWEEP","2026-05-13","","13d","13","UPTREND","BULLISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","43.75","TRUE","FALSE","TRUE","LEADING","LEADING (Risk)","6.02","6.02","VOLUME SURGE","100","0","50.39","31.56","40.09","14.94","2432.97","2617.79","2776.78","61300","10180","1494","Supertrend bullish | RSI 50.4 > 50 | Volume valid 6.02x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","3450","2950","2830","2660","0.1","0.2","0.3","0.4","28","67","106","150","351","99323000","677000","2829.72","2831.54","2370","5075","6700","6700","31.3","16.25","94.2","136.77","3.01","8.42"
"MTEL","2026-05-26","2026-05-26","560","FULL","500","-1.9607843137254901","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-05","","21d","21","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","56.4","TRUE","FALSE","TRUE","LEADING","LEADING (Passive)","2.85","2.85","VOLUME SURGE","16.67","83.33","35.84","22.17","10.77","17","511.14","522","559.92","27647000","9691690","1478","Supertrend bearish | RSI 35.8 lemah | Volume valid 2.85x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","510","505","505","500","0.1","0.2","0.3","0.4","196","396","594","800","1986","99991000","9000","503.48","503.48","498","545","550","550","2.35","1.09","7.84","9.24","3.33","8.49"
"FAST","2026-05-26","2026-05-26","560","FULL","246","4.23728813559322","AVOID","-","passive","FALSE","","EARLY SWEEP","2026-05-13","","13d","13","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","45.17","TRUE","FALSE","TRUE","IMPROVING","IMPROVING (Passive)","2.51","2.51","VOLUME SURGE","11.11","88.89","32.99","31.35","19.52","28.62","274.19","317.26","406.84","4554700","1811340","1444","Supertrend bearish | RSI 33.0 lemah | Volume valid 2.51x | Crash filter aktif | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","288","282","280","278","0.1","0.2","0.3","0.4","347","709","1071","1438","3565","99951800","48200","280.37","280.37","272","350","362","362","5.56","2.99","25.69","29.12","4.63","9.75"
"MGNA","2026-05-26","2026-05-26","560","FULL","118","34.090909090909086","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-07","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","0","TRUE","FALSE","TRUE","IMPROVING","IMPROVING (Passive)","8.55","8.55","VOLUME SURGE","100","0","35.84","41.19","12.39","24.16","138.91","162.93","138.78","26066100","3048585","1432","Supertrend bearish | RSI 35.8 lemah | Volume valid 8.55x | Crash filter aktif | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","170","166","164","163","0.1","0.2","0.3","0.4","588","1204","1829","2453","6074","99961900","38100","164.57","164.57","159","187","198","198","6.47","3.39","16.47","20.31","2.55","6"
"STRK","2026-05-26","2026-05-26","560","FULL","83","-7.777777777777778","AVOID","-","passive","FALSE","","EARLY SWEEP","2026-05-20","","6d","6","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","CRASH / SELL-OFF","0","FALSE","FALSE","TRUE","LAGGING","LAGGARD (Passive)","3.91","3.91","VOLUME SURGE","10.34","89.66","30.81","22.32","21.9","17.28","101.3","114.63","137.09","14008200","3579235","1408","Supertrend bearish | RSI 30.8 lemah | Volume valid 3.91x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","118","104","101","96","0.1","0.2","0.3","0.4","847","1923","2970","4166","9906","99984400","15600","100.93","100.93","88","163","208","208","25.42","12.81","76.27","106.08","3","8.28"
"CINT","2026-05-26","2026-05-26","560","FULL","179","4.678362573099415","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-19","","7d","7","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","CRASH / SELL-OFF","6.75","TRUE","FALSE","TRUE","LAGGING","LAGGARD (Passive)","3.6","3.6","VOLUME SURGE","19.57","80.43","38.96","18.48","34.95","20.71","192.32","198.87","191.43","5220700","1451090","1406","Supertrend bearish | RSI 39.0 lemah | Volume valid 3.6x | Lolos anti-crash ADX | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","200","190","187","183","0.1","0.2","0.3","0.4","500","1052","1604","2185","5341","99968300","31700","187.17","187.17","177","234","270","270","11.5","5.43","35","44.25","3.04","8.14"
