"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"WIKA","2026-05-29","2026-05-29","561","FULL","204","0","AVOID","-","passive","FALSE","","EARLY SWEEP","2025-02-12","","471d","471","DOWNTREND","NEUTRAL","NEUTRAL","BEARISH","DOWNTREND PREMIUM","NORMAL DOWNTREND","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","39.98","14.93","17.98","24.3","204","204","207.35","0","0","58","Supertrend bearish | RSI 40.0 lemah | Volume NaNx | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","250","234","228","224","0.1","0.2","0.3","0.4","400","854","1315","1785","4354","99949600","50400","229.56","229.56","212","380","426","426","15.2","7.65","70.4","85.57","4.63","11.19"
"ZBRA","2026-05-29","2026-05-29","561","FULL","50","0","AVOID","-","passive","FALSE","","EARLY SWEEP","2025-01-31","","483d","483","DOWNTREND","NEUTRAL","NEUTRAL","BEARISH","DOWNTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","36.27","32.76","27.84","14.1","50","50","56.77","0","0","34","Supertrend bearish | RSI 36.3 lemah | Volume NaNx | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","71","67","66","65","0.1","0.2","0.3","0.4","1408","2985","4545","6153","15091","99987800","12200","66.26","66.26","61","116","128","128","14.08","7.93","80.28","93.19","5.7","11.75"
"ARMY","2026-05-29","2026-05-29","561","FULL","50","0","HOLD","-","passive","FALSE","","-","","","-","","UPTREND","NEUTRAL","NEUTRAL","NEUTRAL","UPTREND PREMIUM","N/A","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","100","0","0","0","50","50","50","0","0","0","Supertrend bullish | RSI 100.0 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIKA","2026-05-29","2026-05-29","561","FULL","55","0","AVOID","-","passive","FALSE","","-","","","-","","DOWNTREND","NEUTRAL","NEUTRAL","NEUTRAL","DOWNTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","52.09","7.21","43.08","37.28","55","55","54.98","0","0","0","Supertrend bearish | RSI 52.1 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN SIDEWAYS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOSS","2026-05-29","2026-05-29","561","FULL","50","0","HOLD","-","passive","FALSE","","-","","","-","","UPTREND","NEUTRAL","NEUTRAL","NEUTRAL","UPTREND PREMIUM","N/A","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","100","0","0","0","50","50","50","0","0","0","Supertrend bullish | RSI 100.0 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTEL","2026-05-29","2026-05-29","561","FULL","50","0","HOLD","-","passive","FALSE","","-","","","-","","UPTREND","NEUTRAL","NEUTRAL","NEUTRAL","UPTREND PREMIUM","N/A","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","100","0","0","0","50","50","50","0","0","0","Supertrend bullish | RSI 100.0 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBMF","2026-05-29","2026-05-29","561","FULL","50","0","HOLD","-","passive","FALSE","","-","","","-","","UPTREND","NEUTRAL","NEUTRAL","NEUTRAL","UPTREND PREMIUM","N/A","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","100","0","0","0","50","50","50","0","0","0","Supertrend bullish | RSI 100.0 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHEK","2026-05-29","2026-05-29","212","IPO / SHORT","122","0.8264462809917356","AVOID","-","passive","FALSE","","-","","","-","","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.06","0.06","DRY / QUIET","60","40","36.66","29.18","36.29","17.74","130.47","136.55","156.57","848600","14526390","0","Supertrend bearish | RSI 36.7 lemah | Volume 0.06x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNTB","2026-05-29","2026-05-29","561","FULL","250","0","HOLD","-","passive","FALSE","","-","","","-","","UPTREND","NEUTRAL","NEUTRAL","NEUTRAL","UPTREND PREMIUM","N/A","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","100","0","0","0","250","250","250","0","0","0","Supertrend bullish | RSI 100.0 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNTX","2026-05-29","2026-05-29","561","FULL","142","0","HOLD","-","passive","FALSE","","-","","","-","","UPTREND","NEUTRAL","NEUTRAL","NEUTRAL","UPTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","100","100","100","0","142","142","141.88","0","0","0","Supertrend bullish | RSI 100.0 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN SIDEWAYS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
