"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"LFLO","2026-05-25","2026-05-25","559","FULL","500","5.485232067510549","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BULLISH","STRUCTURE + DISCOUNT","SIDEWAYS","30.76","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.09","0.09","DRY / QUIET","100","0","41.24","25.44","14.57","28.83","544.32","558.59","498.15","11400","131460","962","Supertrend bearish | RSI 41.2 lemah | Volume 0.09x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","540","515","510","505","0.1","0.2","0.3","0.4","185","388","588","792","1953","99956000","44000","511.81","511.81","486","620","650","650","10","5.04","20.37","27","2.04","5.35"
"NIKL","2026-05-25","2026-05-25","559","FULL","268","6.349206349206349","AVOID","-","passive","FALSE","","SMART GAMMA","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.48","0.48","DRY / QUIET","60","40","41.85","23.16","29.91","29.97","308.37","317.46","319.97","28373100","59427200","962","Supertrend bearish | RSI 41.9 lemah | Volume 0.48x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","448","362","340","312","0.1","0.2","0.3","0.4","223","552","882","1282","2939","99959200","40800","340.11","340.12","268","720","990","990","40.18","21.2","120.98","191.08","3.01","9.01"
"OMRE","2026-05-25","2026-05-25","559","FULL","760","-2.564102564102564","AVOID","-","passive","FALSE","","SMART GAMMA","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BULLISH","DOWNTREND PREMIUM","NORMAL DOWNTREND","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.58","0.58","DRY / QUIET","50","50","39.75","12.23","25.41","42.05","851.25","817.94","640.67","5600","9615","962","Supertrend bearish | RSI 39.8 lemah | Volume 0.58x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","940","710","655","580","0.1","0.2","0.3","0.4","106","281","458","689","1534","99876000","124000","651.08","651.15","466","1650","2360","2360","50.43","28.43","151.06","262.47","3","9.23"
"PGEO","2026-05-25","2026-05-25","559","FULL","925","0","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (Passive)","0.69","0.69","DRY / QUIET","40","60","34.68","18.38","13.66","29.19","992.11","1026.96","1140.23","17598600","25589635","962","Supertrend bearish | RSI 34.7 lemah | Volume 0.69x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","1055","1020","1010","1000","0.1","0.2","0.3","0.4","94","196","297","400","987","99906000","94000","1012.22","1012.25","980","1170","1285","1285","7.11","3.18","21.8","26.95","3.07","8.47"
"PYFA","2026-05-25","2026-05-25","559","FULL","240","-0.8264462809917356","AVOID","-","passive","FALSE","","SMART SNIPER","2026-05-06","Structure + Discount","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.19","0.19","DRY / QUIET","33.33","66.67","33.75","19.9","17.32","32.14","307.23","336.25","394.4","14424500","76373175","962","Supertrend bearish | RSI 33.8 lemah | Volume 0.19x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","380","336","326","310","0.1","0.2","0.3","0.4","263","595","920","1290","3068","99968000","32000","325.84","325.84","286","520","660","660","24.74","12.23","73.68","102.55","2.98","8.39"
"RCCC","2026-05-25","2026-05-25","559","FULL","101","-3.8095238095238098","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","95.43","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (Passive)","1.14","1.14","NORMAL","33.33","66.67","38.38","15.16","11.48","17.41","108.45","115.56","152","19173900","16871360","962","Supertrend bearish | RSI 38.4 lemah | Volume 1.14x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","112","104","102","99","0.1","0.2","0.3","0.4","892","1923","2941","4040","9796","99983800","16200","102.07","102.07","94","139","166","166","16.07","7.9","48.21","62.64","3","7.93"
"RICY","2026-05-25","2026-05-25","559","FULL","78","-1.2658227848101267","AVOID","-","passive","FALSE","","BETA BREAKOUT","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.16","0.16","DRY / QUIET","33.33","66.67","37.46","37.98","35.94","14.29","93.68","93.47","81.53","1933400","12100705","962","Supertrend bearish | RSI 37.5 lemah | Volume 0.16x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","126","100","94","85","0.1","0.2","0.3","0.4","793","2000","3191","4705","10689","99979700","20300","93.54","93.54","72","208","288","288","42.86","23.02","128.57","207.91","3","9.03"
"ABDA","2026-05-25","2026-05-25","559","FULL","3220","-3.880597014925373","AVOID","-","passive","FALSE","","SMART GAMMA","2026-05-05","","20d","20","DOWNTREND","BEARISH","BULLISH","BULLISH","DOWNTREND","NORMAL UPTREND","25","TRUE","TRUE","FALSE","WEAKENING","WEAKENING (Passive)","0.25","0.25","DRY / QUIET","100","0","50.11","22.7","23.07","27.76","3288.45","3053.47","3062.31","5700","22730","960","Supertrend bearish | RSI 50.1 > 50 | Volume 0.25x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","3810","3080","2900","2650","0.1","0.2","0.3","0.4","26","64","103","150","343","99238000","762000","2893.24","2893.74","2310","6050","8300","8300","39.37","20.16","117.85","186.88","2.99","9.27"
"CDIA","2026-05-25","2026-05-25","211","IPO / SHORT","735","-2","AVOID","-","passive","FALSE","","SMART SNIPER","2026-05-05","Structure + Discount","20d","20","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.97","0.97","NORMAL","13.04","86.96","34.15","21.86","18.57","33.29","938.64","1016.1","1157.63","112188100","115170700","960","Supertrend bearish | RSI 34.1 lemah | Volume 0.97x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","1190","1075","1050","1010","0.1","0.2","0.3","0.4","84","186","285","396","951","99912000","88000","1050.6","1050.6","940","1565","1595","1595","21.01","10.53","34.03","51.82","1.62","4.92"
"COIN","2026-05-25","2026-05-25","211","IPO / SHORT","835","0","AVOID","-","passive","FALSE","","EARLY SWEEP","2026-05-05","","20d","20","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","56.34","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.42","0.42","DRY / QUIET","30","70","28.72","31.09","13.62","35.03","1045.57","1296.4","1775.79","3014600","7258545","960","Supertrend bearish | RSI 28.7 lemah | Volume 0.42x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","3130","2620","2490","2320","0.1","0.2","0.3","0.4","31","76","120","172","399","99399000","601000","2491.2","2492.64","2040","4770","6400","6400","34.82","18.11","104.47","156.9","3","8.66"
